1991-12-1	cs/9301115	Context-free multilanguages	cs.DS
1992-7-1	cs/9301116	The problem of compatible representatives	cs.DS math.CO
1996-7-19	quant-ph/9607014	A Quantum Algorithm for Finding the Minimum	quant-ph cs.DS
1996-8-22	cs/9608105	Shellsort with three increments	cs.DS
1996-10-31	math/9610221	Extensions and Corrections for: ``A Convex Geometric Approach to  Counting the Roots of a Polynomial System''	math.AG cs.DS
1997-2-8	math/9702221	Some New Applications of Toric Geometry	math.AG cs.DS
1997-2-8	math/9702222	Toric Generalized Characteristic Polynomials	math.AG cs.DS
1997-3-7	quant-ph/9703009	Reversible Simulation of Irreversible Computation by Pebble Games	quant-ph cs.CC cs.DS
1997-3-14	quant-ph/9703022	Reversibility and Adiabatic Computation: Trading Time and Space for  Energy	quant-ph cs.CC cs.CE cs.DS
1997-4-9	math/9704218	A simple polynomial time algorithm to approximate the permanent within a  simply exponential factor	math.RA cs.DS
1998-1-15	cs/9801103	Linear probing and graphs	cs.DS
1998-9-9	cs/9809012	A Fully Polynomial Randomized Approximation Scheme for the All Terminal  Network Reliability Problem	cs.DS
1998-9-24	cs/9809064	Approximation Algorithms for PSPACE-Hard Hierarchically and Periodically  Specified Problems	cs.CC cs.DS
1998-9-25	cs/9809103	Bicriteria Network Design Problems	cs.CC cs.DS
1998-9-30	cs/9809122	Practical algorithms for on-line sampling	cs.LG cs.DS
1998-10-9	cs/9810009	Object-Oriented Design of Graph Oriented Data Structures	cs.SE cs.CG cs.DS
1998-10-27	cond-mat/9810347	An exact representation of the fermion dynamics in terms of Poisson  processes and its connection with Monte Carlo algorithms	cond-mat cs.DS hep-lat math-ph math.MP quant-ph
1998-11-12	cs/9811019	Locked and Unlocked Polygonal Chains in 3D	cs.CG cs.DS cs.RO
1998-12-9	cs/9812007	Minimum Cuts in Near-Linear Time	cs.DS
1998-12-9	cs/9812008	Approximate Graph Coloring by Semidefinite Programming	cs.DS
1999-1-13	cs/9901004	On the geometry of similarity search: dimensionality curse and  concentration of measure	cs.IR cs.CG cs.DB cs.DS
1999-1-21	cs/9901010	Average-Case Complexity of Shellsort	cs.DS cs.CC
1999-2-3	cs/9902005	Mutual Search	cs.DS cs.CC cs.DB cs.DC cs.DM cs.IR
