Year, papers, proceedings papers, arxiv papers, journal papers
1976, 2, 1, 0, 1
1977, 1, 1, 0, 0
1978, 2, 1, 0, 1
1979, 3, 2, 0, 1
1980, 1, 0, 0, 1
1981, 2, 1, 0, 1
1982, 2, 1, 0, 1
1983, 2, 1, 0, 1
1984, 0, 0, 0, 0
1985, 2, 1, 0, 1
1986, 7, 2, 0, 5
1987, 2, 1, 0, 1
1988, 2, 1, 0, 1
1989, 1, 0, 0, 1
1990, 4, 2, 0, 2
1991, 5, 3, 0, 2
1992, 25, 23, 0, 2
1993, 19, 19, 0, 0
1994, 29, 27, 0, 2
1995, 34, 33, 0, 1
1996, 32, 29, 0, 3
1997, 36, 32, 0, 4
1998, 45, 41, 0, 4
1999, 44, 34, 0, 10
2000, 87, 77, 0, 10
2001, 68, 60, 0, 8
2002, 70, 67, 0, 3
2003, 82, 72, 0, 10
2004, 111, 99, 1, 11
2005, 129, 97, 6, 26
2006, 99, 83, 6, 10
2007, 106, 75, 8, 23
2008, 112, 73, 26, 13
2009, 165, 103, 41, 21
2010, 212, 160, 36, 16
2011, 274, 173, 77, 24
2012, 269, 152, 82, 35
2013, 274, 143, 99, 32
2014, 323, 143, 106, 74
2015, 291, 160, 101, 30
2016, 316, 139, 118, 59
2017, 293, 139, 115, 39
2018, 386, 154, 196, 36
2019, 482, 174, 258, 48
2020, 442, 161, 212, 67
2021, 328, 137, 154, 36
2022, 225, 147, 38, 40
2023, 138, 117, 0, 20
2024, 85, 64, 0, 21
2025, 85, 61, 0, 24
2026, 2, 0, 0, 2
