=^\d+ Data Compression Conference\s*$	Data Compression Conference (DCC)
=^\d+ Data Compression Conference \(DCC\)\s*$	Data Compression Conference (DCC)
Proceedings of Data Compression Conference - DCC '96	Data Compression Conference (DCC)
Proceedings DCC '98 Data Compression Conference (Cat. No.98TB100225)	Data Compression Conference (DCC)
Proceedings DCC'99 Data Compression Conference (Cat. No. PR00096)	Data Compression Conference (DCC)
Proceedings DCC 2000. Data Compression Conference	Data Compression Conference (DCC)
Proceedings DCC 2001. Data Compression Conference	Data Compression Conference (DCC)
Proceedings DCC 2002. Data Compression Conference	Data Compression Conference (DCC)
Data Compression Conference, 2003. Proceedings. DCC 2003	Data Compression Conference (DCC)
Data Compression Conference, 2004. Proceedings. DCC 2004	Data Compression Conference (DCC)
Data Compression Conference	Data Compression Conference (DCC)
Data Compression Conference (DCC'06)	Data Compression Conference (DCC)
2007 Data Compression Conference (DCC'07)	Data Compression Conference (DCC)
Data Compression Conference (dcc 2008)	Data Compression Conference (DCC)
=^\d{4} IEEE \d+(st|nd|rd|th) Annual Symposium on Foundations of Computer Science$	IEEE Symposium on Foundations of Computer Science (FOCS)
=^\d{4} IEEE \d+(st|nd|rd|th) Annual Symposium on Foundations of Computer Science \(FOCS\)$	IEEE Symposium on Foundations of Computer Science (FOCS)
Proceedings [1990] 31st Annual Symposium on Foundations of Computer Science	IEEE Symposium on Foundations of Computer Science (FOCS)
