10.4230/lipics.approx/random.	Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques---APPROX/RANDOM
10.4230/lipics.cpm.	Annual Symposium on Combinatorial Pattern Matching---CPM
10.4230/lipics.esa.	European Symposium on Algorithms---ESA
10.4230/lipics.icalp.	International Colloquium on Automata, Languages, and Programming---ICALP
10.4230/lipics.isaac.	International Symposium on Algorithms and Computation---ISAAC
10.4230/lipics.mfcs.	Mathematical Foundations of Computer Science---MFCS
10.4230/lipics.fsttcs.	IARCS Annual Conference on Foundations of Software Technology and Theoretical Computer Science---FSTTCS
10.4230/LIPIcs.FUN.	International Conference on Fun with Algorithms---FUN
10.4230/LIPIcs.SEA.	International Symposium on Experimental Algorithms---SEA
10.4230/LIPIcs.STACS.	Symposium on Theoretical Aspects of Computer Science---STACS
10.4230/LIPIcs.ITCS.	Innovations in Theoretical Computer Science Conference---ITCS
10.4230/LIPIcs.SoCG.	Symposium on Computational Geometry---SoCG
10.4230/LIPIcs.SWAT.	Scandinavian Symposium on Algorithm Theory---SWAT
10.4230/LIPIcs.WABI.	International Conference on Algorithms for Bioinformatics---WABI
10.4230/LIPIcs.APPROX-RANDOM.	Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques---APPROX/RANDOM
10.4230/LIPIcs.CCC.	Computational Complexity Conference---CCC
10.48550/arxiv.	arXiv
10.4230/OASIcs.SOSA.	SIAM Symposium on Simplicity in Algorithms---SOSA
10.4230/LIPIcs.AofA.	International Conference on Probabilistic, Combinatorial and Asymptotic Methods for the Analysis of Algorithms---AofA
10.4230/LIPIcs.CONCUR.	International Conference on Concurrency Theory---CONCUR
10.4230/LIPIcs.CSL.	Computer Science Logic---CSL
10.4230/LIPIcs.ICDT.	International Conference on Database Theory---ICDT
10.4230/LIPIcs.ITP.	International Conference on Interactive Theorem Proving---ITP
10.4230/LIPIcs.OPODIS.	International Conference on Principles of Distributed Systems---OPODIS
10.4230/LIPIcs.TQC.	Conference on the Theory of Quantum Computation, Communication and Cryptography---TQC
10.4230/LIPIcs.WADS.	Algorithms and Data Structures Symposium---WADS
10.4230/OASIcs.Grossi.	Roberto Grossi's Festschrift 
10.4230/OASIcs.Manzini.	Giovanni Manzini's Festschrift 
10.4230/LIPIcs.DISC.	International Symposium on Distributed Computing---DISC
10.4230/LIPIcs.IPEC.	International Symposium on Parameterized and Exact Computation---IPEC
10.4230/DagRep.	Dagstuhl Reports---DagRep
10.1184/	Carnegie Mellon University
10.12921/cmst.	Computational Methods in Science and Technology---CMST
10.20382/jocg.	Journal of Computational Geometry
10.25596/jalc-	Journal of Automata, Languages and Combinatorics
10.5441/002/edbt.	International Conference on Extending Database Technolog---ECBT
10.1101/	bioRxiv
