CrossRef:book	Book
CrossRef:book-chapter	BookChapter
CrossRef:book-series	BookSeries
CrossRef:component	Misc
CrossRef:dataset	Dataset
CrossRef:dissertation	Dissertation
CrossRef:edited-book	Book
CrossRef:journal-article	JournalArticle
CrossRef:journal-issue	JournalIssue
CrossRef:monograph	Book
CrossRef:other	Other
CrossRef:posted-content	PostedContent
CrossRef:proceedings	Proceedings
CrossRef:proceedings-article	ProceedingsArticle
CrossRef:reference-book	Book
CrossRef:reference-entry	BookChapter
CrossRef:report	Report
CrossRef:standard	Misc
DataCite:Audiovisual	Misc
DataCite:Collection	Misc
DataCite:ConferencePaper	ProceedingsArticle
DataCite:DataPaper	Misc
DataCite:Dataset	Dataset
DataCite:Image	Misc
DataCite:JournalArticle	JournalArticle
DataCite:Other	Other
DataCite:Preprint	Misc
DataCite:Report	Report
DataCite:Software	Software
DataCite:Text	Misc
DataCite:Unknown	Unknown
