Year	Conference	Title	Authors	Conference Paper	On-line repository	Video	Slides
2021	SODA	A Lower Bound for Dynamic Fractional Cascading	Peyman Afshani	https://epubs.siam.org/doi/abs/10.1137/1.9781611976465.133	https://arxiv.org/abs/2011.00503		
2021	SODA	Beating the probabilistic lower bound on perfect hashing	Chaoping Xing, Chen Yuan	https://epubs.siam.org/doi/abs/10.1137/1.9781611976465.3?mobileUi=0	https://arxiv.org/abs/1908.08792		
2021	SODA	Competitive Data-Structure Dynamization	Claire Mathieu, Rajmohan Rajaraman, Neal Young, Arman Yousefi	https://epubs.siam.org/doi/abs/10.1137/1.9781611976465.135			
2021	SODA	New Data Structures for Orthogonal Range Reporting and Range Minima Queries	Yakov Nekrich	https://epubs.siam.org/doi/abs/10.1137/1.9781611976465.73			
2021	SODA	On Locating Paths in Compressed Tries	Nicola Prezza	https://epubs.siam.org/doi/abs/10.1137/1.9781611976465.47			
2021	SODA	Optimal Oblivious Priority Queues	Zahra Jafargholi, Kasper Green Larsen, Mark Simkin	https://epubs.siam.org/doi/abs/10.1137/1.9781611976465.141			
2021	SODA	On Indexing and Compressing Finite Automata	Nicola Cotumaccio, Nicola Prezza	https://epubs.siam.org/doi/abs/10.1137/1.9781611976465.153			
2021	SOFSEM	Blocksequences of k-local Words	Pamela Fleischmann, Lukas Haschke, Florin Manea, Dirk Nowotka, Cedric Tsatia Tsida, Judith Wiedenbeck	https://link.springer.com/chapter/10.1007/978-3-030-67731-2_9	https://arxiv.org/abs/2008.03516		
2021	SOFSEM	Novel Results on the Number of Runs of the Burrows-Wheeler-Transform	Sara Giuliani, Shunsuke Inenaga, Zsuzsanna Lipták, Nicola Prezza, Marinella Sciortino, Anna Toffanello	https://link.springer.com/chapter/10.1007/978-3-030-67731-2_18			
2021	SOFSEM	A Normal Sequence Compressed by PPM* but not by Lempel-Ziv 78	Liam Jordon, Philippe Moser	https://link.springer.com/chapter/10.1007/978-3-030-67731-2_28	https://arxiv.org/abs/2009.04827		
2021	ALENEX	PFP Compressed Suffix Trees	Christina Boucher, Ondrej Cvacho, Travis Gagie, Jan Holub, Giovanni Manzini, Gonzalo Navarro, Massimiliano Rossi	https://epubs.siam.org/doi/10.1137/1.9781611976472.5			https://dsb-meeting.github.io/DSB2021/slides/slides-rossi.pdf
2021	STACS	Finding an Optimal Alphabet Ordering for Lyndon Factorization is Hard	Daniel Gibney, Sharma V. Thankachan.	https://drops.dagstuhl.de/opus/volltexte/2021/13680/	https://www.cs.ucf.edu/~dgibney/lyndon.pdf	https://www.youtube.com/watch?v=IaaCS2AnqBo	
2021	LATA	Cadences in Grammar-Compressed Strings	Julian Pape-Lange	https://link.springer.com/chapter/10.1007/978-3-030-68195-1_26	https://arxiv.org/abs/2008.05594		
